start_time,esports_match_id,map_name,team_one_name,team_two_name,match_winner,map_winner,winning_team_final_map_score,losing_team_final_map_score
7/4/2020 20:27,34747,Watchpoint: Gibraltar,Paris Eternal,Vancouver Titans,Paris Eternal,Paris Eternal,1,0
7/4/2020 20:51,34749,Busan,Toronto Defiant,Atlanta Reign,Toronto Defiant,Atlanta Reign,2,0
7/4/2020 21:08,34749,King's Row,Toronto Defiant,Atlanta Reign,Toronto Defiant,Toronto Defiant,3,2
7/4/2020 21:43,34749,Volskaya Industries,Toronto Defiant,Atlanta Reign,Toronto Defiant,Toronto Defiant,3,2
7/4/2020 22:08,34749,Rialto,Toronto Defiant,Atlanta Reign,Toronto Defiant,Atlanta Reign,3,0
7/4/2020 22:27,34749,Nepal,Toronto Defiant,Atlanta Reign,Toronto Defiant,Toronto Defiant,2,0
7/4/2020 22:59,34746,Ilios,Washington Justice,San Francisco Shock,San Francisco Shock,San Francisco Shock,2,0
7/4/2020 23:13,34746,King's Row,Washington Justice,San Francisco Shock,San Francisco Shock,San Francisco Shock,3,2
7/4/2020 23:46,34746,Temple of Anubis,San Francisco Shock,Washington Justice,San Francisco Shock,San Francisco Shock,3,2
7/5/2020 0:57,34748,Lijiang Tower,Houston Outlaws,Philadelphia Fusion,Philadelphia Fusion,Philadelphia Fusion,2,1
7/5/2020 1:16,34748,Blizzard World,Philadelphia Fusion,Houston Outlaws,Philadelphia Fusion,Philadelphia Fusion,3,2
7/5/2020 1:48,34748,Volskaya Industries,Philadelphia Fusion,Houston Outlaws,Philadelphia Fusion,draw,3,3
7/5/2020 2:09,34748,Junkertown,Philadelphia Fusion,Houston Outlaws,Philadelphia Fusion,Philadelphia Fusion,2,1
7/5/2020 8:06,34757,Ilios,Seoul Dynasty,Shanghai Dragons,Shanghai Dragons,Shanghai Dragons,2,0
7/5/2020 8:21,34757,King's Row,Seoul Dynasty,Shanghai Dragons,Shanghai Dragons,Shanghai Dragons,3,2
7/5/2020 9:04,34757,Volskaya Industries,Shanghai Dragons,Seoul Dynasty,Shanghai Dragons,draw,2,2
7/5/2020 9:39,34757,Watchpoint: Gibraltar,Seoul Dynasty,Shanghai Dragons,Shanghai Dragons,Shanghai Dragons,4,3
7/5/2020 10:15,34759,Ilios,New York Excelsior,Guangzhou Charge,Guangzhou Charge,Guangzhou Charge,2,0
7/5/2020 10:32,34759,Blizzard World,Guangzhou Charge,New York Excelsior,Guangzhou Charge,Guangzhou Charge,3,2
7/5/2020 11:05,34759,Hanamura,Guangzhou Charge,New York Excelsior,Guangzhou Charge,Guangzhou Charge,1,0
7/5/2020 11:49,34758,Ilios,Guangzhou Charge,Shanghai Dragons,Guangzhou Charge,Guangzhou Charge,2,0
7/5/2020 12:07,34758,Hollywood,Guangzhou Charge,Shanghai Dragons,Guangzhou Charge,Guangzhou Charge,3,2
